similarity,feature
0.5210675001144409,1
0.6290451288223267,1
0.6905956268310547,0
0.6275856494903564,0
0.5038802623748779,1
0.6907289624214172,1
0.6987123489379883,1
0.5102739334106445,0
0.5358921885490417,0
0.5031339526176453,0
0.5207425355911255,1
0.49778270721435547,0
0.5845839977264404,1
0.6338603496551514,1
0.5819828510284424,0
0.5323858261108398,0
0.6277388334274292,1
0.6178590059280396,1
0.5304734706878662,0
0.5117467641830444,1
0.5799974203109741,1
0.5375543832778931,1
0.5773090124130249,0
0.649337887763977,0
0.5337207913398743,1
0.5428255796432495,1
0.4980694651603699,0
0.5419654846191406,1
0.49508965015411377,1
0.6175320744514465,0
0.5893054008483887,1
0.6244977712631226,1
0.5815950632095337,1
0.506079375743866,1
0.6828309297561646,1
0.5123135447502136,0
0.5449094176292419,0
0.6006218194961548,1
0.6591915488243103,1
0.4861534833908081,0
0.56585693359375,1
0.5516157150268555,1
0.5992939472198486,1
0.5272568464279175,1
0.5676056742668152,1
0.6677991151809692,1
0.5210021734237671,0
0.567132830619812,0
0.5753594636917114,1
0.5398464798927307,0
0.5033524036407471,0
0.49104225635528564,1
0.5252457857131958,0
0.6666202545166016,1
0.5683515071868896,1
0.5605741739273071,1
0.6276478171348572,1
0.5038976073265076,1
0.5407958030700684,0
0.5887035131454468,0
0.4889313578605652,0
0.5039854645729065,1
0.4969554543495178,0
0.5369620323181152,0
0.5349832773208618,0
0.7833364009857178,1
0.6254398822784424,1
0.59696364402771,1
0.4866602420806885,1
0.6536005735397339,1
0.5072399377822876,1
0.6100351810455322,1
0.6404117345809937,1
0.6090224385261536,1
0.5801190137863159,1
0.6466125249862671,1
0.5367322564125061,1
0.6465320587158203,1
0.5131163597106934,0
0.5773152709007263,1
0.5639218091964722,1
0.6548246741294861,1
0.6004006266593933,1
0.5186812877655029,0
0.5987764596939087,1
0.5465592741966248,0
0.5891367197036743,1
0.4903872013092041,0
0.5611844062805176,0
0.5362998843193054,1
0.591242790222168,1
0.5100449323654175,1
0.6787141561508179,1
0.5669690370559692,1
0.4919636845588684,0
0.6054190397262573,1
0.6093276739120483,1
0.6296383142471313,1
0.5142017602920532,0
0.5544116497039795,0
0.4859044551849365,1
0.5285416841506958,0
0.4927127957344055,0
0.4958418011665344,1
0.5036492347717285,0
0.5092118382453918,0
0.597880482673645,0
0.5295933485031128,0
0.5741286277770996,0
0.5812248587608337,1
0.6001525521278381,0
0.6537147164344788,1
0.4972214698791504,0
0.5162899494171143,0
0.5235003232955933,0
0.5364325642585754,1
0.547177791595459,1
0.4957665205001831,0
0.5514603853225708,1
0.5519618391990662,0
0.5359550714492798,0
0.5165646076202393,0
0.48024797439575195,0
0.5708985328674316,1
0.522642195224762,0
0.536992073059082,0
0.5051530599594116,0
0.6187608242034912,1
0.5718096494674683,1
0.5510097742080688,0
0.48594993352890015,0
0.6479807496070862,1
0.582627534866333,1
0.5279088020324707,0
0.505577564239502,0
0.6101175546646118,1
0.7937254905700684,1
0.4906972646713257,0
0.5632807612419128,1
0.5192344188690186,0
0.677035927772522,1
0.6430495381355286,1
0.6371047496795654,1
0.5446817874908447,0
0.4908145070075989,0
0.8018574714660645,1
0.561427652835846,0
0.5797051191329956,1
0.6464164853096008,1
0.624971866607666,1
0.5033327341079712,1
0.5072558522224426,0
0.5316794514656067,0
0.5823803544044495,0
0.5792394876480103,1
0.535770833492279,0
0.5359686613082886,1
0.6555930376052856,0
0.602421760559082,0
0.48815250396728516,0
0.635534405708313,1
0.5232902765274048,0
0.4793115258216858,1
0.7450892329216003,1
0.503429651260376,0
0.5890082120895386,1
0.6440068483352661,1
0.5119198560714722,0
0.497336208820343,0
0.5680592060089111,1
0.6609253287315369,1
0.6920528411865234,1
0.5530313849449158,1
0.5050463676452637,1
0.6384042501449585,1
0.6442530155181885,1
0.5652999877929688,0
0.5015215873718262,0
0.5240260362625122,0
0.567484438419342,1
0.4920245409011841,0
0.627539336681366,1
0.51877760887146,0
0.7038521766662598,1
0.5046904683113098,0
0.5588113069534302,0
0.5326603651046753,0
0.5004116296768188,0
0.5683612823486328,1
0.5747469663619995,1
0.510642945766449,0
0.47036778926849365,0
0.5175402760505676,1
0.47198861837387085,0
0.5235686302185059,0
0.6616960763931274,1
0.5723516941070557,1
0.5680475234985352,1
0.7459026575088501,1
0.5769162178039551,1
0.5587432980537415,1
0.6537544131278992,1
0.49461090564727783,0
0.5361565351486206,1
0.6423154473304749,1
0.5547028183937073,0
0.6773203611373901,1
0.5270376801490784,1
0.560773491859436,0
0.5514850616455078,0
0.5087149143218994,0
0.5342870950698853,1
0.5986005663871765,1
0.6073631048202515,1
0.4864482879638672,0
0.4831923246383667,1
0.5096457004547119,1
0.509219765663147,0
0.4834800958633423,0
0.6309171915054321,1
0.5290870070457458,0
0.4922717809677124,0
0.5123211145401001,0
0.4973407983779907,1
0.5955563187599182,1
0.5853413343429565,0
0.5124296545982361,1
0.5929960608482361,0
0.5001068115234375,0
0.616039514541626,1
0.5305932760238647,1
0.5484371185302734,0
0.5648754239082336,1
0.6258435845375061,1
0.5426888465881348,0
0.6034013032913208,1
0.5178227424621582,0
0.6002610921859741,1
0.639220654964447,1
0.5492827296257019,1
0.6868631839752197,1
0.538622260093689,0
0.5593298673629761,0
0.7323813438415527,1
0.5361971259117126,1
0.5852692127227783,0
0.5453258156776428,1
0.601737916469574,1
0.4958358407020569,0
0.512197732925415,0
0.5040879249572754,0
0.5112578272819519,0
0.48993414640426636,0
0.5093128085136414,0
0.644097626209259,1
0.6976710557937622,1
0.6235369443893433,1
0.522591769695282,1
0.5130385160446167,0
0.5776549577713013,0
0.585036039352417,0
0.5207256078720093,0
0.5924784541130066,1
0.5199207663536072,1
